ts_by_detla_seconds,value_baro,value_rain_day,value_humi_in,value_temp_in,value_humi_out,value_temp_out,value_solar,value_wind,value_MPPT
1568782920.0,1012.3184999999809,0.2158999999999882,71.5,27.61115000000071,85.15,24.733340000000126,8.75,1.0349999999999828,50.169999999998886
1568783520.0,1012.4734999999844,0.21589999999998813,71.5,27.586135000000194,85.75,24.586134999999896,7.8,1.0800000000000054,37.080000000000204
1568786520.0,1012.8691666666651,0.22119166666666754,71.5,27.407416666666887,86.20833333333333,24.291662499999934,5.916666666666667,1.0125000000000044,11.025000000000082
1568787120.0,1012.9828947368411,0.2285999999999989,71.5,27.38012105263101,86.39473684210526,24.071644736843208,9.81578947368421,1.1368421052631688,69.92631578947494
1568787720.0,1013.1075000000085,0.22859999999999978,71.5,27.34722499999997,85.75,24.069449999999993,5.75,0.22500000000000095,2.949999999999994
1568788320.0,1013.3483333333152,0.22860000000000014,71.5,27.314816666667056,85.33333333333333,24.194438888888577,5.666666666666667,1.0500000000000227,14.444444444444324
1568788920.0,1013.3950000000003,0.22860000000000003,71.5,27.277800000000017,85.5,24.277749999999987,5.5,0.45000000000000095,4.799999999999999
1568790120.0,1013.6573684210462,0.2666999999999979,72.0,27.203178947368595,85.05263157894737,24.264621052631615,8.421052631578947,1.4921052631579068,74.86315789473852
1568790720.0,1013.750789473686,0.2666999999999972,72.0,27.178334210526145,83.84210526315789,24.21636842105288,13.894736842105264,1.5631578947368254,181.55263157895075
1568791320.0,1013.8549999999792,0.26669999999999827,71.85,27.166649999999713,82.45,24.219459999999778,26.25,1.6199999999999868,417.9699999999948
1568791920.0,1013.996666666672,0.26669999999999644,71.08333333333333,27.141952777777348,82.02777777777777,24.345686111111466,37.69444444444444,1.2500000000000153,609.5888888888624
1568792520.0,1014.1266666666638,0.2666999999999964,71.0,27.135772222221945,81.25,24.50000833333344,41.083333333333336,1.2249999999999943,680.0777777777688
1568793120.0,1014.1660526315729,0.2666999999999974,71.0,27.133007894736892,80.94736842105263,24.65352631579021,55.921052631578945,1.1842105263157856,868.1315789473667
1568793720.0,1014.2680555555302,0.18767777777777503,71.0,27.14661111111146,80.44444444444444,24.81944722222284,136.33333333333334,1.4250000000000183,1661.7444444444152
1568794320.0,1014.2788235294162,0.17779999999999815,71.0,27.171591176471047,79.17647058823529,25.236935294118158,239.5,1.6676470588235053,2297.905882352875
1568794920.0,1014.34500000002,0.17779999999999702,70.9,27.227795000000736,75.65,25.641675000000056,240.75,2.0025000000000106,2363.079999999954
1568795520.0,1014.3950000000134,0.17779999999999774,70.05555555555556,27.274680555554216,74.25,25.814836111111234,174.05555555555554,1.4874999999999752,2504.6277777777887
1568796120.0,1014.4252777777971,0.17779999999999774,70.0,27.32406666666685,74.91666666666667,26.024694444444723,295.8888888888889,1.2500000000000122,3133.255555555521
1568796720.0,1014.3395161290258,0.17779999999999888,69.7258064516129,27.378164516129814,74.19354838709677,26.429204838709705,319.9193548387097,1.509677419354843,3004.7709677418347
1568797320.0,1014.3150000000268,0.17779999999999774,69.5,27.461438888890026,71.91666666666667,26.651227777777997,374.8611111111111,1.774999999999982,3487.5499999999206
1568797920.0,1014.2606249999905,0.17779999999999863,69.3125,27.538193750000573,72.28125,26.618078125000533,147.96875,1.6031249999999955,1809.2500000000296
1568798520.0,1014.1947058823843,0.17779999999999815,69.0,27.58987058823582,73.70588235294117,26.27449411764626,200.44117647058823,1.9058823529411877,3066.294117647004
1568799120.0,1014.0942105262822,0.17779999999999738,68.84210526315789,27.65351578947373,73.55263157894737,26.258760526315967,123.60526315789474,1.8710526315789664,2089.6263157894464
1568799720.0,1013.9805263157834,0.17779999999999738,68.5,27.69592631578887,74.86842105263158,26.159357894737013,113.8157894736842,1.492105263157932,1206.5631578947791
1568800320.0,1013.8955263158009,0.17779999999999738,68.5,27.751471052631526,74.6842105263158,26.07895263157876,321.8421052631579,2.155263157894769,4318.7421052631635
1568800920.0,1013.8816666666704,0.17779999999999774,68.5,27.793230555555677,74.47222222222223,26.405844444444813,413.80555555555554,1.7250000000000092,6212.483333333355
1568801520.0,1013.7627777777891,0.17779999999999774,68.5,27.842580555556,73.66666666666667,26.75617499999944,443.94444444444446,1.9250000000000271,3292.511111111076
1568802120.0,1013.8023529411541,0.17779999999999815,68.17647058823529,27.931350000000265,73.11764705882354,26.834964705882186,232.41176470588235,2.117647058823592,1935.0941176470787
1568802720.0,1013.7552777777827,0.17779999999999774,68.0,27.986116666666717,74.69444444444444,26.447519444443728,105.97222222222223,2.1250000000000124,1798.3833333333382
1568803320.0,1013.7303124999852,0.17779999999999863,68.0,28.043403124998953,77.125,25.9444531250003,105.125,1.7578124999999978,1672.1124999999831
1568803920.0,1013.6735000000039,0.17779999999999702,68.0,28.069450000000664,78.15,25.750000000000437,79.15,1.7100000000000228,1301.2899999999665
1568804520.0,1013.5226315789428,0.17779999999999738,68.15789473684211,28.07017105263134,79.97368421052632,25.55847631578945,107.47368421052632,1.6342105263157922,1856.615789473683
1568805120.0,1013.5214999999722,0.22986999999999505,68.5,28.055550000000018,80.8,25.322229999999596,24.75,1.597500000000014,357.87000000001547
1568805720.0,1013.4461111111385,0.3125611111111085,68.5,28.030844444443304,82.52777777777777,24.81173055555552,49.77777777777778,1.4250000000000025,939.2388888888822
1568806320.0,1013.2852631578703,0.3174999999999984,68.73684210526316,27.982460526316224,83.47368421052632,24.69004473684218,64.5,1.3736842105262965,1191.3526315788909
1568806920.0,1013.2125000000106,0.31749999999999823,69.0,27.93057500000051,83.1,24.524989999999512,41.55,1.7324999999999986,781.6399999999892
1568807520.0,1013.0189999999857,0.2870199999999983,69.3,27.969460000000804,84.8,24.475009999999735,112.05,1.5300000000000116,2157.389999999982
1568808120.0,1012.5076315789181,0.16510000000000016,70.60526315789474,28.241221052631477,89.15789473684211,24.675428947368392,155.23684210526315,1.1368421052631674,2798.742105263152
1568808720.0,1012.4410810810858,0.17230810810810548,71.0,28.20344459459448,88.55405405405405,24.738747297297024,44.986486486486484,0.9364864864864881,791.878378378393
1568809320.0,1012.3007894736827,0.17779999999999707,71.07894736842105,28.15348684210514,88.55263157894737,24.615478947367905,19.92105263157895,0.7105263157894876,276.57894736840916
1568809920.0,1012.2481578947546,0.18582105263157372,71.5,28.09208947368385,89.0,24.55848157894817,24.210526315789473,1.1605263157894712,378.2210526315647
1568810520.0,1012.1820000000222,0.20319999999999236,72.0,28.030565000000262,89.0,24.494450000000512,36.6,1.23749999999999,614.9899999999732
1568811120.0,1012.1237499999805,0.20319999999999516,72.0,27.972212499999326,89.0,24.503475000000112,53.5625,1.3218749999999617,987.2999999999965
1568854320.0,1012.7250000000056,0.17779999999999974,66.0,27.41667499999995,77.5,24.569450000000018,211.75,2.1374999999999833,3546.4500000000558
1568854920.0,1012.7023529411985,0.17779999999999815,65.61764705882354,27.3872735294114,77.29411764705883,24.483647058823635,145.52941176470588,1.535294117647056,2383.7235294117254
1568855520.0,1012.6199999999903,0.17779999999999774,65.36111111111111,27.04322777777752,76.66666666666667,24.518500000000145,60.5,1.43749999999997,971.0333333333288
1568856120.0,1012.4265151515114,0.17779999999999838,65.95454545454545,26.865331818182174,76.75757575757575,24.574919696969705,117.4090909090909,1.5681818181818434,2064.7545454545025
1568856720.0,1012.3931578947501,0.17779999999999738,66.44736842105263,26.7631631578947,76.5,24.665228947368245,52.973684210526315,1.3499999999999777,885.2052631578985
1568857320.0,1012.2865789473911,0.17779999999999738,66.5,26.700281578947063,76.6842105263158,24.561402631579526,60.94736842105263,1.2789473684210542,1011.5842105263056
1568857920.0,1012.3087499999874,0.17779999999999863,66.65625,26.640596875000043,77.8125,24.467003124999668,31.03125,1.5046875000000102,466.2375000000062
1568858520.0,1012.2063636363865,0.17780000000000193,67.68181818181819,26.56689545454577,79.4090909090909,24.042927272727148,51.93181818181818,1.523863636363644,919.3454545454402
1568859120.0,1012.2193333333246,0.18626666666666275,68.2,26.4759133333331,79.23333333333333,23.99815666666689,56.06666666666667,1.5599999999999918,957.8600000000176
1568859720.0,1012.2159999999931,0.1904999999999978,68.16,26.385548000000163,79.24,24.08555199999963,58.82,1.6380000000000265,967.796000000004
1568860320.0,1012.230937499996,0.19049999999999553,68.25,26.322921874999828,78.90625,24.111121875000105,35.65625,1.4765624999999867,600.7937500000056
1568860920.0,1012.158666666668,0.19049999999999587,67.66666666666667,26.253699999999927,78.23333333333333,24.077783333333862,52.46666666666667,0.9449999999999998,904.6266666666835
1568861520.0,1012.0981818181845,0.1904999999999997,67.9090909090909,26.234836363636113,77.95454545454545,24.148999999999873,44.27272727272727,1.4113636363636421,717.863636363642
1568862120.0,1012.1024999999988,0.19049999999999426,67.52777777777777,26.21603333333353,77.30555555555556,24.12036666666637,44.80555555555556,1.312500000000002,753.977777777794
1568862720.0,1012.075714285692,0.1904999999999965,67.71428571428571,26.180557142857314,77.53571428571429,24.11706071428549,33.642857142857146,1.333928571428569,539.6499999999902
1568863320.0,1012.1729999999977,0.19050000000000017,68.0,26.141679999999866,77.55,24.119440000000026,51.85,1.5300000000000125,865.6699999999992
1568863920.0,1012.1371052631492,0.1905000000000001,68.0,26.207610526316042,77.5,24.125715789473606,42.526315789473685,0.982894736842101,683.6105263157899
1568864520.0,1012.1162500000036,0.19049999999999534,67.59375,26.2551999999996,77.03125,24.10762499999925,46.71875,0.9843750000000172,868.2187500000134
1568865120.0,1012.0984999999915,0.19049999999999334,67.5,26.302780000000677,76.65,24.130529999999624,58.9,1.5300000000000042,1030.899999999997
1568865720.0,1012.1599999999914,0.1904999999999938,67.8,26.37503000000087,76.9,24.188865000000355,58.15,1.3499999999999979,1318.9900000000275
